hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,destpurp1_desc_01,destplace1_desc_01,startime_01,arrtime_01,vistadist_01,travtime_01,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,weight,wfh_intensity,wfh_adopter,wfh_category,perspoststratweight,agegroup,sex,carlicence,emptype,persinc,analysis_weight
Y24H6150140,Y24H6150140P01,Y24H6150140P01JTW1485,Weekday,FROM_HOME,Y24H6150140P01S05,662,Casey (C),TO_WORK,Y24H6150140P01S08,711.0,Greater Dandenong (C),Vehicle Driver,Change Mode,Transport Feature,662.0,669.0,4.54833,7.0,Train,37.0,25.56515,49.0,432.82034985,MELB - Outer,Greater Melbourne,432.82034985,0.0,0,No_WFH,432.82034985,30->34,Female,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",432.82034985
Y24H6150140,Y24H6150140P02,Y24H6150140P02JTW1486,Weekday,FROM_HOME,Y24H6150140P02S01,857,Casey (C),TO_WORK,Y24H6150140P02S01,886.0,Kingston (C),Vehicle Driver,Work Related,Place of work,857.0,886.0,23.37954,29.0,Vehicle Driver,29.0,23.37954,29.0,337.160597291,MELB - Outer,Greater Melbourne,337.160597291,0.0,0,No_WFH,337.160597291,25->29,Male,Full Licence,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",337.160597291
Y24H6150302,Y24H6150302P01,Y24H6150302P01JTW1487,Weekday,FROM_HOME,Y24H6150302P01S01,475,Moonee Valley (C),TO_WORK,Y24H6150302P01S01,493.0,Melbourne (C),Bicycle,Work Related,Place of work,475.0,493.0,4.863,18.0,Bicycle,18.0,4.863,18.0,663.826211639,MELB - Inner,Greater Melbourne,663.826211639,0.0,0,No_WFH,663.826211639,40->44,Male,Learners Permit,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",663.826211639
Y24H6150303,Y24H6150303P01,Y24H6150303P01JTW1488,Weekday,FROM_HOME,Y24H6150303P01S01,501,Moonee Valley (C),TO_WORK,Y24H6150303P01S02,563.0,Hobsons Bay (C),Vehicle Driver,Buy Something,Retail venue,501.0,515.0,3.20182,14.0,Vehicle Driver,58.0,15.65755,62.0,850.633408864,MELB - Inner,Greater Melbourne,850.633408864,1.0,1,Occasional_WFH,850.633408864,55->59,Female,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",850.633408864
Y24H6150303,Y24H6150303P02,Y24H6150303P02JTW1489,Weekday,FROM_HOME,Y24H6150303P02S01,456,Moonee Valley (C),TO_WORK,Y24H6150303P02S02,565.0,Wyndham (C),Vehicle Driver,Buy Something,Retail venue,456.0,494.0,30.87659,38.0,Vehicle Driver,43.0,33.76023,109.0,777.403851208,MELB - Inner,Greater Melbourne,777.403851208,0.0,0,No_WFH,681.38328758,50->54,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",777.403851208
Y24H6150303,Y24H6150303P03,Y24H6150303P03JTW1490,Weekday,FROM_HOME,Y24H6150303P03S01,380,Moonee Valley (C),TO_WORK,Y24H6150303P03S01,415.0,Melbourne (C),Vehicle Driver,Work Related,Place of work,380.0,415.0,14.99264,35.0,Vehicle Driver,35.0,14.99264,35.0,2384.071834283,MELB - Inner,Greater Melbourne,2384.071834283,0.0,0,No_WFH,1420.022060283,20->24,Female,Green Probationary Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",2384.071834283
Y24H6150305,Y24H6150305P01,Y24H6150305P01JTW1491,Weekday,FROM_HOME,Y24H6150305P01S01,510,Moonee Valley (C),TO_WORK,Y24H6150305P01S01,535.0,Brimbank (C),Vehicle Driver,Work Related,Place of work,510.0,535.0,16.04561,25.0,Vehicle Driver,25.0,16.04561,25.0,1082.373524379,MELB - Inner,Greater Melbourne,1082.373524379,0.0,0,No_WFH,644.692940868,50->54,Male,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",1082.373524379
Y24H6150305,Y24H6150305P03,Y24H6150305P03JTW1492,Weekday,FROM_HOME,Y24H6150305P03S01,510,Moonee Valley (C),TO_WORK,Y24H6150305P03S01,535.0,Brimbank (C),Vehicle Driver,Work Related,Place of work,510.0,535.0,16.04561,25.0,Vehicle Driver,25.0,16.04561,25.0,2461.739460838,MELB - Inner,Greater Melbourne,2461.739460838,0.0,0,No_WFH,1466.283142476,20->24,Male,Red Probationary Licence,Not in Work Force,"$400-$499 ($20,800-$25,999)",2461.739460838
Y24H6150308,Y24H6150308P01,Y24H6150308P01JTW1493,Weekday,FROM_HOME,Y24H6150308P01S06,715,Moonee Valley (C),TO_WORK,Y24H6150308P01S06,756.0,Boroondara (C),Vehicle Driver,Work Related,Place of work,715.0,756.0,22.6531,41.0,Vehicle Driver,41.0,22.6531,41.0,920.323330508,MELB - Inner,Greater Melbourne,920.323330508,0.0,0,No_WFH,548.171163772,65->69,Male,Full Licence,Self-Employed,"$650-$799 ($33,800-$41,599)",920.323330508
Y24H6150316,Y24H6150316P01,Y24H6150316P01JTW1494,Weekday,FROM_HOME,Y24H6150316P01S03,587,Moonee Valley (C),TO_WORK,Y24H6150316P01S04,626.0,Melbourne (C),Vehicle Driver,Change Mode,Transport Feature,587.0,608.0,9.31672,21.0,Vehicle Driver,31.0,9.67857,39.0,581.444330276,MELB - Inner,Greater Melbourne,581.444330276,5.0,1,Full_WFH,346.325041027,70->74,Male,Full Licence,Employer,"$2,000-$2,999 ($104,000-$155,999)",581.444330276
Y24H6150322,Y24H6150322P02,Y24H6150322P02JTW1495,Weekday,FROM_HOME,Y24H6150322P02S01,360,Moonee Valley (C),TO_WORK,Y24H6150322P02S01,390.0,Wyndham (C),Vehicle Driver,Work Related,Place of work,360.0,390.0,22.09497,30.0,Vehicle Driver,30.0,22.09497,30.0,1307.376317837,MELB - Inner,Greater Melbourne,1307.376317837,0.0,0,No_WFH,1307.376317837,30->34,Male,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",1307.376317837
Y24H6150331,Y24H6150331P02,Y24H6150331P02JTW1496,Weekday,FROM_HOME,Y24H6150331P02S01,519,Moonee Valley (C),TO_WORK,Y24H6150331P02S05,550.0,Melbourne (C),Walking,Change Mode,Transport Feature,519.0,525.0,0.58688,6.0,Train,31.0,9.36151,31.0,853.920070165,MELB - Inner,Greater Melbourne,853.920070165,2.0,1,Occasional_WFH,508.619463523,50->54,Female,Full Licence,Paid Employee,Negative income,853.920070165
Y24H6150336,Y24H6150336P03,Y24H6150336P03JTW1497,Weekday,FROM_HOME,Y24H6150336P03S01,300,Moonee Valley (C),TO_WORK,Y24H6150336P03S03,335.0,Melbourne (C),Walking,Change Mode,Transport Feature,300.0,308.0,0.67573,8.0,Train,24.0,8.33955,35.0,1190.462455716,MELB - Inner,Greater Melbourne,1190.462455716,0.0,0,No_WFH,1190.462455716,20->24,Male,Learners Permit,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",1190.462455716
