hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,destpurp1_desc_01,destplace1_desc_01,startime_01,arrtime_01,vistadist_01,travtime_01,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,weight,wfh_intensity,wfh_adopter,wfh_category,perspoststratweight,agegroup,sex,carlicence,emptype,persinc,analysis_weight
Y24H5740102,Y24H5740102P02,Y24H5740102P02JTW0001,Weekday,FROM_HOME,Y24H5740102P02S01,455,Casey (C),TO_WORK,Y24H5740102P02S01,480.0,Greater Dandenong (C),Vehicle Driver,Work Related,Place of work,455.0,480.0,12.89117,25.0,Vehicle Driver,25.0,12.89117,25.0,652.818030841,MELB - Outer,Greater Melbourne,652.818030841,0.0,0,No_WFH,652.818030841,25->29,Male,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",652.818030841
Y24H5740109,Y24H5740109P02,Y24H5740109P02JTW0002,Weekday,FROM_HOME,Y24H5740109P02S01,450,Casey (C),TO_WORK,Y24H5740109P02S01,454.0,Casey (C),Vehicle Driver,Work Related,Place of work,450.0,454.0,1.33689,4.0,Vehicle Driver,4.0,1.33689,4.0,760.235357962,MELB - Outer,Greater Melbourne,760.235357962,0.0,0,No_WFH,760.235357962,45->49,Female,Full Licence,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",760.235357962
Y24H5740110,Y24H5740110P03,Y24H5740110P03JTW0003,Weekday,FROM_HOME,Y24H5740110P03S01,395,Casey (C),TO_WORK,Y24H5740110P03S01,405.0,Casey (C),Vehicle Passenger,Work Related,Place of work,395.0,405.0,9.42059,10.0,Vehicle Passenger,10.0,9.42059,10.0,603.756453587,MELB - Outer,Greater Melbourne,603.756453587,0.0,0,No_WFH,603.756453587,25->29,Female,Learners Permit,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",603.756453587
Y24H5740111,Y24H5740111P01,Y24H5740111P01JTW0004,Weekday,FROM_HOME,Y24H5740111P01S01,560,Casey (C),TO_WORK,Y24H5740111P01S01,590.0,Frankston (C),Vehicle Driver,Work Related,Place of work,560.0,590.0,20.87897,30.0,Vehicle Driver,30.0,20.87897,30.0,348.746406172,MELB - Outer,Greater Melbourne,348.746406172,0.0,0,No_WFH,348.746406172,65->69,Female,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",348.746406172
Y24H5740111,Y24H5740111P02,Y24H5740111P02JTW0005,Weekday,FROM_HOME,Y24H5740111P02S01,421,Casey (C),TO_WORK,Y24H5740111P02S02,568.0,Ballarat (C),Vehicle Driver,Buy Something,Retail venue,421.0,508.0,87.50492,87.0,Vehicle Driver,98.81999999999994,86.52100259999997,146.81999999999994,696.78161167,MELB - Outer,Greater Melbourne,696.78161167,3.0,1,Frequent_WFH,696.78161167,25->29,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",696.78161167
Y24H5740119,Y24H5740119P01,Y24H5740119P01JTW0006,Weekday,FROM_HOME,Y24H5740119P01S05,569,Casey (C),TO_WORK,Y24H5740119P01S07,651.0,Melbourne (C),Vehicle Driver,Change Mode,Transport Feature,569.0,575.0,3.34288,6.0,Train,73.0,51.61251,82.0,346.716334742,MELB - Outer,Greater Melbourne,346.716334742,3.0,1,Frequent_WFH,346.716334742,65->69,Male,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",346.716334742
Y24H5740120,Y24H5740120P01,Y24H5740120P01JTW0007,Weekend,FROM_HOME,Y24H5740120P01S01,537,Casey (C),TO_WORK,Y24H5740120P01S02,565.0,Casey (C),Vehicle Driver,Buy Something,Retail venue,537.0,543.0,2.25009,6.0,Vehicle Driver,25.0,15.39116,28.0,427.276622314,MELB - Outer,Greater Melbourne,427.276622314,0.0,0,No_WFH,427.276622314,60->64,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",427.276622314
Y24H5740123,Y24H5740123P01,Y24H5740123P01JTW0008,Weekday,FROM_HOME,Y24H5740123P01S01,486,Casey (C),TO_WORK,Y24H5740123P01S02,510.0,Greater Dandenong (C),Vehicle Driver,Buy Something,Retail venue,486.0,499.0,7.46789,13.0,Vehicle Driver,21.0,12.43667,24.0,433.329068446,MELB - Outer,Greater Melbourne,433.329068446,0.0,0,No_WFH,433.329068446,65->69,Female,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",433.329068446
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0009,Weekday,FROM_HOME,Y24H5740129P03S01,491,Casey (C),TO_WORK,Y24H5740129P03S01,532.0,Manningham (C),Vehicle Driver,Work Related,Place of work,491.0,532.0,42.83731,41.0,Vehicle Driver,41.0,42.83731,41.0,734.497298419,MELB - Outer,Greater Melbourne,734.497298419,5.0,1,Full_WFH,734.497298419,40->44,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",734.497298419
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0010,Weekday,FROM_HOME,Y24H5740129P03S10,1100,Casey (C),TO_WORK,Y24H5740129P03S10,1111.0,Casey (C),Vehicle Driver,Work Related,Place of work,1100.0,1111.0,8.61913,11.0,Vehicle Driver,11.0,8.61913,11.0,734.497298419,MELB - Outer,Greater Melbourne,734.497298419,5.0,1,Full_WFH,734.497298419,40->44,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",734.497298419
Y24H5740131,Y24H5740131P02,Y24H5740131P02JTW0011,Weekday,FROM_HOME,Y24H5740131P02S01,410,Casey (C),TO_WORK,Y24H5740131P02S02,480.0,Greater Dandenong (C),Vehicle Driver,Pick-up or Drop-off Someone,Place of education,410.0,420.0,1.48545,10.0,Vehicle Driver,70.0,21.92181,70.0,946.335436235,MELB - Outer,Greater Melbourne,946.335436235,0.0,0,No_WFH,946.335436235,45->49,Female,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",946.335436235
Y24H5740331,Y24H5740331P01,Y24H5740331P01JTW0012,Weekday,FROM_HOME,Y24H5740331P01S01,525,Stonnington (C),TO_WORK,Y24H5740331P01S01,535.0,Stonnington (C),Vehicle Driver,Work Related,Place of work,525.0,535.0,1.03956,10.0,Vehicle Driver,10.0,1.03956,10.0,1108.648322595,MELB - Inner,Greater Melbourne,1108.648322595,2.0,1,Occasional_WFH,660.342969764,60->64,Male,Full Licence,Self-Employed,"$2,000-$2,999 ($104,000-$155,999)",1108.648322595
Y24H5740340,Y24H5740340P01,Y24H5740340P01JTW0013,Weekday,FROM_HOME,Y24H5740340P01S01,570,Stonnington (C),TO_WORK,Y24H5740340P01S01,605.0,Melbourne (C),Vehicle Driver,Work Related,Place of work,570.0,605.0,11.99826,35.0,Vehicle Driver,35.0,11.99826,35.0,641.679404901,MELB - Inner,Greater Melbourne,641.679404901,1.0,1,Occasional_WFH,641.679404901,55->59,Female,Full Licence,Self-Employed,"$800-$999 ($41,600-$51,999)",641.679404901
Y24H5740505,Y24H5740505P01,Y24H5740505P01JTW0014,Weekday,FROM_HOME,Y24H5740505P01S01,396,Wyndham (C),TO_WORK,Y24H5740505P01S01,425.0,Melton (S),Vehicle Driver,Work Related,Place of work,396.0,425.0,17.22882,29.0,Vehicle Driver,29.0,17.22882,29.0,477.382773928,MELB - Outer,Greater Melbourne,477.382773928,0.0,0,No_WFH,419.509162416,35->39,Male,Full Licence,Self-Employed,"$1-$149 ($1-$7,799)",477.382773928
Y24H5740505,Y24H5740505P01,Y24H5740505P01JTW0015,Weekday,FROM_HOME,Y24H5740505P01S03,1040,Wyndham (C),TO_WORK,Y24H5740505P01S03,1077.0,Hobsons Bay (C),Vehicle Driver,Work Related,Place of work,1040.0,1077.0,28.58858,37.0,Vehicle Driver,37.0,28.58858,37.0,477.382773928,MELB - Outer,Greater Melbourne,477.382773928,0.0,0,No_WFH,419.509162416,35->39,Male,Full Licence,Self-Employed,"$1-$149 ($1-$7,799)",477.382773928
Y24H5740510,Y24H5740510P02,Y24H5740510P02JTW0016,Weekday,FROM_HOME,Y24H5740510P02S01,412,Wyndham (C),TO_WORK,Y24H5740510P02S05,487.0,Glen Eira (C),Vehicle Passenger,Change Mode,Transport Feature,412.0,425.0,6.62414,13.0,Train,53.0,44.30265,75.0,306.537486477,MELB - Outer,Greater Melbourne,306.537486477,4.0,1,Frequent_WFH,306.537486477,35->39,Female,Learners Permit,Employer,"$1,250-$1,499 ($65,000-$77,999)",306.537486477
Y24H5740517,Y24H5740517P01,Y24H5740517P01JTW0017,Weekday,FROM_HOME,Y24H5740517P01S01,447,Wyndham (C),TO_WORK,Y24H5740517P01S02,476.0,Melton (S),Vehicle Driver,Pick-up or Drop-off Someone,Retail venue,447.0,459.0,7.01617,12.0,Vehicle Driver,29.0,18.98942,29.0,992.235991306,MELB - Outer,Greater Melbourne,992.235991306,0.0,0,No_WFH,871.741667124,35->39,Male,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",992.235991306
Y24H5740517,Y24H5740517P02,Y24H5740517P02JTW0018,Weekday,FROM_HOME,Y24H5740517P02S01,447,Wyndham (C),TO_WORK,Y24H5740517P02S01,459.0,Wyndham (C),Vehicle Passenger,Work Related,Place of work,447.0,459.0,7.01617,12.0,Vehicle Passenger,12.0,7.01617,12.0,649.109169529,MELB - Outer,Greater Melbourne,649.109169529,0.0,0,No_WFH,649.109169529,35->39,Female,Learners Permit,Paid Employee,"$650-$799 ($33,800-$41,599)",649.109169529
Y24H5740530,Y24H5740530P02,Y24H5740530P02JTW0019,Weekday,FROM_HOME,Y24H5740530P02S01,375,Wyndham (C),TO_WORK,Y24H5740530P02S01,404.0,Melton (S),Vehicle Driver,Work Related,Place of work,375.0,404.0,16.82733,29.0,Vehicle Driver,29.0,16.82733,29.0,488.765064209,MELB - Outer,Greater Melbourne,488.765064209,4.0,1,Frequent_WFH,429.658687345,45->49,Male,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",488.765064209
Y24H5740533,Y24H5740533P01,Y24H5740533P01JTW0020,Weekday,FROM_HOME,Y24H5740533P01S03,600,Wyndham (C),TO_WORK,Y24H5740533P01S03,660.0,Yarra (C),Vehicle Driver,Work Related,Place of work,600.0,660.0,42.70477,60.0,Vehicle Driver,60.0,42.70477,60.0,402.847679723,MELB - Outer,Greater Melbourne,402.847679723,0.0,0,No_WFH,402.847679723,35->39,Male,Full Licence,Paid Employee,"$400-$499 ($20,800-$25,999)",402.847679723
Y24H5740533,Y24H5740533P02,Y24H5740533P02JTW0021,Weekday,FROM_HOME,Y24H5740533P02S01,330,Wyndham (C),TO_WORK,Y24H5740533P02S01,360.0,Wyndham (C),Vehicle Driver,Work Related,Place of work,330.0,360.0,13.38469,30.0,Vehicle Driver,30.0,13.38469,30.0,503.610819361,MELB - Outer,Greater Melbourne,503.610819361,0.0,0,No_WFH,299.965153317,35->39,Female,Full Licence,Paid Employee,Nil income,503.610819361
Y24H5740536,Y24H5740536P01,Y24H5740536P01JTW0022,Weekday,FROM_HOME,Y24H5740536P01S01,552,Wyndham (C),TO_WORK,Y24H5740536P01S01,564.0,Wyndham (C),Vehicle Driver,Work Related,Place of work,552.0,564.0,9.24683,12.0,Vehicle Driver,12.0,9.24683,12.0,610.972399041,MELB - Outer,Greater Melbourne,610.972399041,0.0,0,No_WFH,610.972399041,25->29,Female,Full Licence,Not in Work Force,"$1,750-$1,999 ($91,000-$103,999)",610.972399041
Y24H5740539,Y24H5740539P01,Y24H5740539P01JTW0023,Weekday,FROM_HOME,Y24H5740539P01S01,360,Wyndham (C),TO_WORK,Y24H5740539P01S01,380.0,Brimbank (C),Vehicle Driver,Work Related,Place of work,360.0,380.0,19.52765,20.0,Vehicle Driver,20.0,19.52765,20.0,477.981506367,MELB - Outer,Greater Melbourne,477.981506367,0.0,0,No_WFH,477.981506367,25->29,Male,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",477.981506367
Y24H5740539,Y24H5740539P02,Y24H5740539P02JTW0024,Weekday,FROM_HOME,Y24H5740539P02S01,360,Wyndham (C),TO_WORK,Y24H5740539P02S01,380.0,Brimbank (C),Vehicle Passenger,Work Related,Place of work,360.0,380.0,19.52765,20.0,Vehicle Passenger,20.0,19.52765,20.0,597.537655488,MELB - Outer,Greater Melbourne,597.537655488,0.0,0,No_WFH,355.910690459,25->29,Female,Learners Permit,Paid Employee,"$650-$799 ($33,800-$41,599)",597.537655488
Y24H5750123,Y24H5750123P01,Y24H5750123P01JTW0025,Weekday,FROM_HOME,Y24H5750123P01S01,531,Mornington Peninsula (S),TO_WORK,Y24H5750123P01S01,535.0,Mornington Peninsula (S),Vehicle Driver,Work Related,Place of work,531.0,535.0,1.94153,4.0,Vehicle Driver,4.0,1.94153,4.0,610.56982043,MELB - Outer,Greater Melbourne,610.56982043,0.0,0,No_WFH,610.56982043,70->74,Male,Full Licence,Paid Employee,"$500-$649 ($26,000-$33,799)",610.56982043
Y24H5750123,Y24H5750123P01,Y24H5750123P01JTW0026,Weekday,FROM_HOME,Y24H5750123P01S06,949,Mornington Peninsula (S),TO_WORK,Y24H5750123P01S06,952.0,Mornington Peninsula (S),Vehicle Driver,Work Related,Place of work,949.0,952.0,1.94153,3.0,Vehicle Driver,3.0,1.94153,3.0,610.56982043,MELB - Outer,Greater Melbourne,610.56982043,0.0,0,No_WFH,610.56982043,70->74,Male,Full Licence,Paid Employee,"$500-$649 ($26,000-$33,799)",610.56982043
Y24H5750208,Y24H5750208P01,Y24H5750208P01JTW0027,Weekday,FROM_HOME,Y24H5750208P01S01,435,Whitehorse (C),TO_WORK,Y24H5750208P01S01,470.0,Melbourne (C),Vehicle Driver,Work Related,Place of work,435.0,470.0,20.61367,35.0,Vehicle Driver,35.0,20.61367,35.0,453.38197222,MELB - Middle,Greater Melbourne,453.38197222,0.0,0,No_WFH,453.38197222,65->69,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",453.38197222
Y24H5750208,Y24H5750208P02,Y24H5750208P02JTW0028,Weekday,FROM_HOME,Y24H5750208P02S01,405,Whitehorse (C),TO_WORK,Y24H5750208P02S01,435.0,Port Phillip (C),Vehicle Driver,Work Related,Place of work,405.0,435.0,18.65665,30.0,Vehicle Driver,30.0,18.65665,30.0,943.817870751,MELB - Middle,Greater Melbourne,943.817870751,0.0,0,No_WFH,562.165190698,60->64,Female,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",943.817870751
Y24H5750217,Y24H5750217P01,Y24H5750217P01JTW0029,Weekday,FROM_HOME,Y24H5750217P01S01,472,Whitehorse (C),TO_WORK,Y24H5750217P01S01,498.0,Knox (C),Vehicle Driver,Work Related,Place of work,472.0,498.0,17.35503,26.0,Vehicle Driver,26.0,17.35503,26.0,482.756360268,MELB - Middle,Greater Melbourne,482.756360268,0.0,0,No_WFH,482.756360268,55->59,Female,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",482.756360268
Y24H5750217,Y24H5750217P02,Y24H5750217P02JTW0030,Weekday,FROM_HOME,Y24H5750217P02S01,390,Whitehorse (C),TO_WORK,Y24H5750217P02S01,397.0,Boroondara (C),Vehicle Driver,Work Related,Place of work,390.0,397.0,5.34105,7.0,Vehicle Driver,7.0,5.34105,7.0,842.910830617,MELB - Middle,Greater Melbourne,842.910830617,0.0,0,No_WFH,502.062042391,20->24,Male,Full Licence,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",842.910830617
Y24H5750218,Y24H5750218P01,Y24H5750218P01JTW0031,Weekday,FROM_HOME,Y24H5750218P01S03,451,Whitehorse (C),TO_WORK,Y24H5750218P01S05,501.0,Yarra (C),Vehicle Driver,Change Mode,Transport Feature,451.0,463.0,6.62048,12.0,Train,42.0,18.75461,50.0,648.35110364,MELB - Middle,Greater Melbourne,648.35110364,0.0,0,No_WFH,648.35110364,50->54,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",648.35110364
Y24H5750224,Y24H5750224P01,Y24H5750224P01JTW0032,Weekday,FROM_HOME,Y24H5750224P01S01,320,Whitehorse (C),TO_WORK,Y24H5750224P01S01,380.0,Yarra (C),Vehicle Driver,Work Related,Place of work,320.0,380.0,18.61169,60.0,Vehicle Driver,60.0,18.61169,60.0,2638.999146045,MELB - Middle,Greater Melbourne,2638.999146045,0.0,0,No_WFH,1571.864132014,55->59,Male,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",2638.999146045
Y24H5750233,Y24H5750233P01,Y24H5750233P01JTW0033,Weekday,FROM_HOME,Y24H5750233P01S01,450,Whitehorse (C),TO_WORK,Y24H5750233P01S01,475.0,Banyule (C),Vehicle Driver,Work Related,Place of work,450.0,475.0,17.11809,25.0,Vehicle Driver,25.0,17.11809,25.0,795.260765041,MELB - Middle,Greater Melbourne,795.260765041,0.0,0,No_WFH,795.260765041,20->24,Male,Green Probationary Licence,Paid Employee,"$150-$299 ($7,800-$15,599)",795.260765041
Y24H5750235,Y24H5750235P02,Y24H5750235P02JTW0034,Weekend,FROM_HOME,Y24H5750235P02S01,585,Whitehorse (C),TO_WORK,Y24H5750235P02S01,605.0,Monash (C),Vehicle Driver,Work Related,Place of work,585.0,605.0,9.22855,20.0,Vehicle Driver,20.0,9.22855,20.0,1376.586534104,MELB - Middle,Greater Melbourne,1376.586534104,5.0,1,Full_WFH,1376.586534104,45->49,Female,Full Licence,Paid Employee,"$1-$149 ($1-$7,799)",1376.586534104
Y24H5750239,Y24H5750239P01,Y24H5750239P01JTW0035,Weekday,FROM_HOME,Y24H5750239P01S01,490,Whitehorse (C),TO_WORK,Y24H5750239P01S01,525.0,Boroondara (C),Vehicle Driver,Work Related,Place of work,490.0,525.0,13.8802,35.0,Vehicle Driver,35.0,13.8802,35.0,1517.558354572,MELB - Middle,Greater Melbourne,1517.558354572,0.0,0,No_WFH,1517.558354572,55->59,Male,Full Licence,Employer,"$1,000-$1,249 ($52,000-$64,999)",1517.558354572
Y24H5750239,Y24H5750239P03,Y24H5750239P03JTW0036,Weekday,FROM_HOME,Y24H5750239P03S01,470,Whitehorse (C),TO_WORK,Y24H5750239P03S01,530.0,Hume (C),Vehicle Driver,Work Related,Place of work,470.0,530.0,39.60458,60.0,Vehicle Driver,60.0,39.60458,60.0,1393.83663153,MELB - Middle,Greater Melbourne,1393.83663153,0.0,0,No_WFH,1393.83663153,25->29,Female,Full Licence,Paid Employee,"$300-$399 ($15,600-$20,799)",1393.83663153
Y24H5750239,Y24H5750239P05,Y24H5750239P05JTW0037,Weekday,FROM_HOME,Y24H5750239P05S01,490,Whitehorse (C),TO_WORK,Y24H5750239P05S01,525.0,Boroondara (C),Vehicle Passenger,Work Related,Place of work,490.0,525.0,13.8802,35.0,Vehicle Passenger,35.0,13.8802,35.0,2364.889079331,MELB - Middle,Greater Melbourne,2364.889079331,0.0,0,No_WFH,1408.596257245,20->24,Male,No Car Licence,Paid Employee,"$500-$649 ($26,000-$33,799)",2364.889079331
Y24H5750309,Y24H5750309P02,Y24H5750309P02JTW0038,Weekday,FROM_HOME,Y24H5750309P02S01,424,Maribyrnong (C),TO_WORK,Y24H5750309P02S02,509.0,Monash (C),Vehicle Driver,Buy Something,Retail venue,424.0,464.0,16.77562,40.0,Vehicle Driver,83.0,35.70621,85.0,582.490959729,MELB - Middle,Greater Melbourne,582.490959729,0.0,0,No_WFH,582.490959729,45->49,Male,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",582.490959729
Y24H5750320,Y24H5750320P03,Y24H5750320P03JTW0039,Weekend,FROM_HOME,Y24H5750320P03S01,680,Maribyrnong (C),TO_WORK,Y24H5750320P03S01,685.0,Maribyrnong (C),Vehicle Passenger,Work Related,Place of work,680.0,685.0,2.60045,5.0,Vehicle Passenger,5.0,2.60045,5.0,1213.573257803,MELB - Middle,Greater Melbourne,1213.573257803,0.0,0,No_WFH,722.839292453,15->19,Female,Learners Permit,Paid Employee,"$150-$299 ($7,800-$15,599)",1213.573257803
Y24H5750320,Y24H5750320P04,Y24H5750320P04JTW0040,Weekend,FROM_HOME,Y24H5750320P04S03,930,Maribyrnong (C),TO_WORK,Y24H5750320P04S05,960.0,Maribyrnong (C),Walking,Change Mode,Transport Feature,930.0,938.0,0.59529,8.0,Public Bus,22.0,2.94316,30.0,1213.573257803,MELB - Middle,Greater Melbourne,1213.573257803,0.0,0,No_WFH,722.839292453,15->19,Female,Learners Permit,Paid Employee,"$150-$299 ($7,800-$15,599)",1213.573257803
Y24H5750324,Y24H5750324P01,Y24H5750324P01JTW0041,Weekday,FROM_HOME,Y24H5750324P01S04,842,Maribyrnong (C),TO_WORK,Y24H5750324P01S04,859.0,Brimbank (C),Vehicle Driver,Work Related,Place of work,842.0,859.0,7.73723,17.0,Vehicle Driver,17.0,7.73723,17.0,560.101828454,MELB - Middle,Greater Melbourne,560.101828454,0.0,0,No_WFH,560.101828454,40->44,Male,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",560.101828454
Y24H5750333,Y24H5750333P01,Y24H5750333P01JTW0042,Weekday,FROM_HOME,Y24H5750333P01S01,410,Maribyrnong (C),TO_WORK,Y24H5750333P01S01,445.0,Wyndham (C),Vehicle Driver,Work Related,Place of work,410.0,445.0,24.80787,35.0,Vehicle Driver,35.0,24.80787,35.0,1861.535584934,MELB - Middle,Greater Melbourne,1861.535584934,0.0,0,No_WFH,1108.78437411,55->59,Male,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",1861.535584934
Y24H5750401,Y24H5750401P01,Y24H5750401P01JTW0043,Weekday,FROM_HOME,Y24H5750401P01S01,390,Whittlesea (C),TO_WORK,Y24H5750401P01S01,420.0,Hume (C),Vehicle Driver,Work Related,Place of work,390.0,420.0,15.49056,30.0,Vehicle Driver,30.0,15.49056,30.0,435.600356185,MELB - Outer,Greater Melbourne,435.600356185,0.0,0,No_WFH,435.600356185,30->34,Male,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",435.600356185
Y24H5750401,Y24H5750401P03,Y24H5750401P03JTW0044,Weekday,FROM_HOME,Y24H5750401P03S01,630,Whittlesea (C),TO_WORK,Y24H5750401P03S02,690.0,Whittlesea (C),Vehicle Driver,Pick-up or Drop-off Someone,Place of education,630.0,660.0,28.60725,30.0,Vehicle Driver,60.0,39.04567,60.0,435.600356185,MELB - Outer,Greater Melbourne,435.600356185,0.0,0,No_WFH,435.600356185,30->34,Male,Full Licence,Self-Employed,"$1,250-$1,499 ($65,000-$77,999)",435.600356185
Y24H5750403,Y24H5750403P01,Y24H5750403P01JTW0045,Weekday,FROM_HOME,Y24H5750403P01S01,332,Whittlesea (C),TO_WORK,Y24H5750403P01S01,349.0,Hume (C),Vehicle Driver,Work Related,Place of work,332.0,349.0,19.93495,17.0,Vehicle Driver,17.0,19.93495,17.0,309.990096313,MELB - Outer,Greater Melbourne,309.990096313,0.0,0,No_WFH,309.990096313,40->44,Male,Green Probationary Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",309.990096313
Y24H5750403,Y24H5750403P03,Y24H5750403P03JTW0046,Weekday,FROM_HOME,Y24H5750403P03S01,954,Whittlesea (C),TO_WORK,Y24H5750403P03S01,965.0,Hume (C),Vehicle Driver,Work Related,Place of work,954.0,965.0,5.64398,11.0,Vehicle Driver,11.0,5.64398,11.0,634.455478952,MELB - Outer,Greater Melbourne,634.455478952,0.0,0,No_WFH,377.900012669,20->24,Female,Green Probationary Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",634.455478952
Y24H5750404,Y24H5750404P02,Y24H5750404P02JTW0047,Weekday,FROM_HOME,Y24H5750404P02S01,460,Whittlesea (C),TO_WORK,Y24H5750404P02S01,515.0,Banyule (C),Vehicle Driver,Work Related,Place of work,460.0,515.0,32.22561,55.0,Vehicle Driver,55.0,32.22561,55.0,652.772223378,MELB - Outer,Greater Melbourne,652.772223378,0.0,0,No_WFH,652.772223378,45->49,Female,Full Licence,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",652.772223378
Y24H5750404,Y24H5750404P02,Y24H5750404P02JTW0048,Weekday,FROM_HOME,Y24H5750404P02S04,1056,Whittlesea (C),TO_WORK,Y24H5750404P02S04,1070.0,Hume (C),Vehicle Driver,Work Related,Place of work,1056.0,1070.0,8.44761,14.0,Vehicle Driver,14.0,8.44761,14.0,652.772223378,MELB - Outer,Greater Melbourne,652.772223378,0.0,0,No_WFH,652.772223378,45->49,Female,Full Licence,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",652.772223378
Y24H5750412,Y24H5750412P01,Y24H5750412P01JTW0049,Weekday,FROM_HOME,Y24H5750412P01S01,453,Whittlesea (C),TO_WORK,Y24H5750412P01S01,490.0,Hume (C),Vehicle Driver,Work Related,Place of work,453.0,490.0,28.92583,37.0,Vehicle Driver,37.0,28.92583,37.0,593.33097035,MELB - Outer,Greater Melbourne,593.33097035,0.0,0,No_WFH,353.40506726,45->49,Male,Full Licence,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",593.33097035
Y24H5750415,Y24H5750415P01,Y24H5750415P01JTW0050,Weekday,FROM_HOME,Y24H5750415P01S01,501,Whittlesea (C),TO_WORK,Y24H5750415P01S03,547.0,Whittlesea (C),Vehicle Driver,Pick-up or Drop-off Someone,Place of education,501.0,508.0,3.47778,7.0,Vehicle Driver,43.0,26.37341,46.0,492.179102597,MELB - Outer,Greater Melbourne,492.179102597,0.0,0,No_WFH,492.179102597,40->44,Male,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",492.179102597
Y24H5750417,Y24H5750417P02,Y24H5750417P02JTW0051,Weekday,FROM_HOME,Y24H5750417P02S01,495,Whittlesea (C),TO_WORK,Y24H5750417P02S02,570.0,Darebin (C),Vehicle Driver,Pick-up or Drop-off Someone,Place of education,495.0,510.0,3.44781,15.0,Vehicle Driver,60.0,31.27082,75.0,412.385160855,MELB - Outer,Greater Melbourne,412.385160855,0.0,0,No_WFH,412.385160855,35->39,Male,Full Licence,Paid Employee,"$300-$399 ($15,600-$20,799)",412.385160855
Y24H5750418,Y24H5750418P01,Y24H5750418P01JTW0052,Weekday,FROM_HOME,Y24H5750418P01S01,300,Whittlesea (C),TO_WORK,Y24H5750418P01S01,315.0,Hume (C),Vehicle Driver,Work Related,Place of work,300.0,315.0,4.08403,15.0,Vehicle Driver,15.0,4.08403,15.0,1380.773038408,MELB - Outer,Greater Melbourne,1380.773038408,0.0,0,No_WFH,822.42831218,50->54,Male,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",1380.773038408
Y24H5750418,Y24H5750418P02,Y24H5750418P02JTW0053,Weekday,FROM_HOME,Y24H5750418P02S01,410,Whittlesea (C),TO_WORK,Y24H5750418P02S01,429.0,Whittlesea (C),Vehicle Driver,Work Related,Place of work,410.0,429.0,13.24665,19.0,Vehicle Driver,19.0,13.24665,19.0,1408.518434236,MELB - Outer,Greater Melbourne,1408.518434236,0.0,0,No_WFH,838.954271499,50->54,Female,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",1408.518434236
Y24H5750418,Y24H5750418P04,Y24H5750418P04JTW0054,Weekday,FROM_HOME,Y24H5750418P04S01,683,Whittlesea (C),TO_WORK,Y24H5750418P04S02,709.0,Whittlesea (C),Vehicle Passenger,Buy Something,Retail venue,683.0,698.0,14.15907,15.0,Vehicle Passenger,23.0,17.69918,26.0,821.004997676,MELB - Outer,Greater Melbourne,821.004997676,0.0,0,No_WFH,821.004997676,15->19,Female,Learners Permit,Paid Employee,"$650-$799 ($33,800-$41,599)",821.004997676
