persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,weight,wfh_intensity_weekdays,wfh_intensity_weekends,wfh_intensity_total,wfh_intensity,wfh_adopter,wfh_category,is_worker,hhsize,dwelltype,totalvehs,hhinc_group,homelga,hhpoststratweight,analysis_weight,weight_source
Y24H6200341P02,Y24H6200341,2,Saturday,40->44,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Sales Workers,Sales Representatives and Agents,Wholesale Trade,Wholesale Trade (NEC),At Home,13,"$1,250-$1,499 ($65,000-$77,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,Yes,Yes,528.664067209,565.914925175,531.654685974,666.397752509,0.0,852.976029051,562.655079495,460.481321223,645.888943092,551.439498093,652.175156354,MELB - Middle,Greater Melbourne,Weekend,528.664067209,0,0,0,0,0,No_WFH,1,4,Terrace or Townhouse,1,"$4,500-$4,999 ($234,000-$259,999)",Glen Eira (C),397.1467985,528.664067209,perspoststratweight
Y24H6200406P01,Y24H6200406,1,Saturday,40->44,Female,Self,Full Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Community and Personal Service Workers,Health and Welfare Support Workers,Health Care and Social Assistance,Social Assistance Services,At another location,2,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,2795.844923673,3274.104167743,0.0,2730.928238544,2751.248417743,3140.220166084,2604.956771364,4055.583061997,3106.696128935,2990.609880394,3257.207296759,MELB - Outer,Greater Melbourne,Weekend,2795.844923673,0,0,0,0,0,No_WFH,1,4,Separate House,2,"$3,000-$3,499 ($156,000-$181,999)",Murrindindi (S),3002.415246,2795.844923673,perspoststratweight
Y24H6200406P02,Y24H6200406,2,Saturday,35->39,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At another location,4,"$2,000-$2,999 ($104,000-$155,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,2125.702924357,2396.830082097,0.0,2098.833916834,1999.978803536,2405.181642322,2312.796374865,2305.702828043,2433.468963536,2356.054083946,2462.381680281,MELB - Outer,Greater Melbourne,Weekend,2125.702924357,0,0,0,0,0,No_WFH,1,4,Separate House,2,"$3,000-$3,499 ($156,000-$181,999)",Murrindindi (S),3002.415246,2125.702924357,perspoststratweight
Y24H6200410P01,Y24H6200410,1,Wednesday,65->69,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Technicians and Trades Workers,Construction Trades Workers,Construction,Building Construction,At Home,5,"$1,250-$1,499 ($65,000-$77,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,1937.63906947,1888.310201432,0.0,1793.608719816,2013.355719834,2079.025060087,2141.778841173,1947.381954695,2124.127258678,2547.658992484,2100.896885391,MELB - Outer,Greater Melbourne,Weekday,1937.63906947,0,0,0,0,0,No_WFH,1,2,Separate House,2,"$1,500-$1,749 ($78,000-$90,999)",Murrindindi (S),3269.757997,1937.63906947,perspoststratweight
Y24H6200415P01,Y24H6200415,1,Monday,35->39,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,0,"$2,000-$2,999 ($104,000-$155,999)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1690.475125991,1826.54521201,0.0,1595.83949639,1900.204165212,2017.183565875,1979.41075402,1737.432065977,1801.388588843,1759.407919974,1862.656113665,MELB - Outer,Greater Melbourne,Weekday,1690.475125991,0,0,0,0,0,No_WFH,1,5,Separate House,2,"$3,500-$3,999 ($182,000-$207,999)",Murrindindi (S),1872.521106,1690.475125991,perspoststratweight
Y24H6200415P02,Y24H6200415,2,Monday,30->34,Male,Spouse,Green Probationary Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Self-Employed,Technicians and Trades Workers,Construction Trades Workers,Construction,Building Construction,At Home,0,"$1,000-$1,249 ($52,000-$64,999)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,2504.682280644,2453.359343495,0.0,2372.987557023,3007.36010723,3118.611342841,2754.458709579,2538.798742009,2734.058485084,2353.689661792,2894.961359447,MELB - Outer,Greater Melbourne,Weekday,2504.682280644,0,0,0,0,0,No_WFH,1,5,Separate House,2,"$3,500-$3,999 ($182,000-$207,999)",Murrindindi (S),1872.521106,2504.682280644,perspoststratweight
Y24H6200420P01,Y24H6200420,1,Saturday,50->54,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Technicians and Trades Workers,Construction Trades Workers,Construction,Construction Services,At Home,2,"$2,000-$2,999 ($104,000-$155,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,4079.890827548,4275.876064465,0.0,4148.19967156,4582.764672927,4034.394703919,3935.375310178,4131.319401764,4441.548317134,4889.186871121,5261.097183769,MELB - Outer,Greater Melbourne,Weekend,4079.890827548,0,0,0,0,0,No_WFH,1,4,Separate House,3,"$3,000-$3,499 ($156,000-$181,999)",Murrindindi (S),3226.539262,4079.890827548,perspoststratweight
Y24H6200420P02,Y24H6200420,2,Saturday,45->49,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,4,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,3421.010484315,3575.053051141,0.0,3459.064801067,3618.243601903,3827.567791429,3168.465123803,4542.234669538,3502.260858537,3801.756905305,3813.250862442,MELB - Outer,Greater Melbourne,Weekend,3421.010484315,0,0,0,0,0,No_WFH,1,4,Separate House,3,"$3,000-$3,499 ($156,000-$181,999)",Murrindindi (S),3226.539262,3421.010484315,perspoststratweight
Y24H6200427P01,Y24H6200427,1,Saturday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Machinery Operators and Drivers,Road and Rail Drivers,Electricity Gas Water and Waste Services,Waste Collection Treatment and Disposal Services,At Home,6,"$1,250-$1,499 ($65,000-$77,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,1527.990627738,1827.984816138,2538.408429761,1431.00306792,1518.134548566,0.0,1577.232461504,1469.140377802,1710.210296731,1648.094605465,1812.400540726,MELB - Outer,Greater Melbourne,Weekend,1527.990627738,0,0,0,0,0,No_WFH,1,2,Separate House,4,"$2,500-$2,999 ($130,000-$155,999)",Whittlesea (C),941.0361863,1527.990627738,perspoststratweight
Y24H6200427P02,Y24H6200427,2,Saturday,55->59,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,Numerical Clerks,Electricity Gas Water and Waste Services,Electricity Supply,At Home,6,"$1,250-$1,499 ($65,000-$77,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,1151.449551746,1379.458768041,2036.140704483,1078.17885923,1074.483658826,0.0,1255.480994706,1170.527375844,1175.737311757,1244.826261145,1298.145740473,MELB - Outer,Greater Melbourne,Weekend,1151.449551746,0,0,0,0,0,No_WFH,1,2,Separate House,4,"$2,500-$2,999 ($130,000-$155,999)",Whittlesea (C),941.0361863,1151.449551746,perspoststratweight
Y24H6200429P02,Y24H6200429,2,Monday,35->39,Male,Spouse,Full Licence,Yes,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Specialist Managers,Wholesale Trade,Motor Vehicle and Motor Vehicle Parts Wholesaling,At Home,0,"$1,250-$1,499 ($65,000-$77,999)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,347.264247532,375.468043494,528.8798901,332.388265087,375.653337064,0.0,413.01358049,327.201964934,377.68401255,360.528326914,397.811767566,MELB - Outer,Greater Melbourne,Weekday,347.264247532,0,0,0,0,0,No_WFH,1,6,Separate House,2,"$1,250-$1,499 ($65,000-$77,999)",Whittlesea (C),490.4878566,347.264247532,perspoststratweight
Y24H6200430P01,Y24H6200430,1,Tuesday,45->49,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Specialist Managers,Construction,Construction (NEC),At Home,3,"$3,000-$3,499 ($156,000-$181,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,574.972817733,594.457443614,856.73744561,555.087755958,643.053243285,0.0,590.454889256,640.349507839,651.28473288,597.109254759,654.861196275,MELB - Outer,Greater Melbourne,Weekday,574.972817733,0,0,0,0,0,No_WFH,1,5,Separate House,2,"$4,500-$4,999 ($234,000-$259,999)",Whittlesea (C),553.1846232,574.972817733,perspoststratweight
Y24H6200430P02,Y24H6200430,2,Tuesday,40->44,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,Health and Welfare Support Workers,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,3,"$1,250-$1,499 ($65,000-$77,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,515.124755889,598.45239048,694.014294617,482.270918666,554.043201915,0.0,507.146395512,657.667339266,567.418987409,517.277113562,605.676015893,MELB - Outer,Greater Melbourne,Weekday,515.124755889,0,0,0,0,0,No_WFH,1,5,Separate House,2,"$4,500-$4,999 ($234,000-$259,999)",Whittlesea (C),553.1846232,515.124755889,perspoststratweight
Y24H6200431P01,Y24H6200431,1,Wednesday,35->39,Male,Self,Full Licence,No,Yes,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Transport Postal and Warehousing,Transport Support Services,At Home,0,"$1,750-$1,999 ($91,000-$103,999)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,532.971928597,597.956607369,741.912429627,514.977520168,623.666642311,0.0,594.003526322,502.852307052,617.234470972,560.822428527,618.244655614,MELB - Outer,Greater Melbourne,Weekday,532.971928597,0,0,0,0,0,No_WFH,1,6,Separate House,2,"$3,500-$3,999 ($182,000-$207,999)",Whittlesea (C),556.1046286,532.971928597,perspoststratweight
Y24H6200431P02,Y24H6200431,2,Wednesday,35->39,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Specialist Managers,Retail Trade,Other Store-Based Retailing,At Home,0,"$1,500-$1,749 ($78,000-$90,999)",Yes,1,1,1,1,1,0,0,1,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,401.632233297,451.23814906,595.11230715,388.006069079,441.409897662,0.0,472.828296581,400.64407752,424.337053175,423.596124005,442.822460169,MELB - Outer,Greater Melbourne,Weekday,401.632233297,5,0,5,5,1,Full_WFH,1,6,Separate House,2,"$3,500-$3,999 ($182,000-$207,999)",Whittlesea (C),556.1046286,401.632233297,perspoststratweight
