persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,weight,wfh_intensity_weekdays,wfh_intensity_weekends,wfh_intensity_total,wfh_intensity,wfh_adopter,wfh_category,is_worker,hhsize,dwelltype,totalvehs,hhinc_group,homelga,hhpoststratweight,analysis_weight,weight_source
Y24H5740102P02,Y24H5740102,2,Tuesday,25->29,Male,Spouse,Full Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Manufacturing,Transport Equipment Manufacturing,At Home,4,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,MELB - Outer,Greater Melbourne,Weekday,652.818030841,0,0,0,0,0,No_WFH,1,2,"Unit, Flat or Apartment",2,"$1,250-$1,499 ($65,000-$77,999)",Casey (C),806.3371724,652.818030841,perspoststratweight
Y24H5740104P01,Y24H5740104,1,Thursday,55->59,Female,Self,No Car Licence,No,No,Yes,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Education and Training,Tertiary Education,At Home,2,"$1-$149 ($1-$7,799)",Yes,0,0,1,1,1,0,0,1,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,482.667095678,466.837261016,590.513462458,607.041441415,504.538560345,565.703526832,0.0,492.619046432,425.480656313,541.45019129,673.129057899,MELB - Outer,Greater Melbourne,Weekday,482.667095678,3,0,3,3,1,Frequent_WFH,1,1,Separate House,0,"$1-$149 ($1-$7,799)",Casey (C),754.3656665,482.667095678,perspoststratweight
Y24H5740109P01,Y24H5740109,1,Tuesday,45->49,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Clerical and Administrative Workers,Clerical and Office Support Workers,Financial and Insurance Services,Financial and Insurance Services (NEC),At Home,5,"$1,000-$1,249 ($52,000-$64,999)",Yes,0,0,1,1,0,0,0,0,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,685.760486978,605.822551968,880.495362229,852.856122331,657.613077798,882.151108516,0.0,699.827251696,726.313405223,669.066950024,902.879037588,MELB - Outer,Greater Melbourne,Weekday,685.760486978,2,0,2,2,1,Occasional_WFH,1,5,Separate House,1,"$2,000-$2,499 ($104,000-$129,999)",Casey (C),876.2877141,685.760486978,perspoststratweight
Y24H5740109P02,Y24H5740109,2,Tuesday,45->49,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Public Administration and Safety,Public Order Safety and Regulatory Services,At Home,2,"$1,000-$1,249 ($52,000-$64,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,760.235357962,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419,MELB - Outer,Greater Melbourne,Weekday,760.235357962,0,0,0,0,0,No_WFH,1,5,Separate House,1,"$2,000-$2,499 ($104,000-$129,999)",Casey (C),876.2877141,760.235357962,perspoststratweight
Y24H5740110P03,Y24H5740110,3,Wednesday,25->29,Female,Child,Learners Permit,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,4,"$1,750-$1,999 ($91,000-$103,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269,MELB - Outer,Greater Melbourne,Weekday,603.756453587,0,0,0,0,0,No_WFH,1,3,Separate House,1,"$1,750-$1,999 ($91,000-$103,999)",Casey (C),672.6834138,603.756453587,perspoststratweight
Y24H5740111P01,Y24H5740111,1,Thursday,65->69,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,Office Managers and Program Administrators,Agriculture Forestry and Fishing,Agriculture,At Home,2,"$1,500-$1,749 ($78,000-$90,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,348.746406172,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937,MELB - Outer,Greater Melbourne,Weekday,348.746406172,0,0,0,0,0,No_WFH,1,3,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),749.463904,348.746406172,perspoststratweight
Y24H5740111P02,Y24H5740111,2,Thursday,25->29,Female,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,Carers and Aides,Education and Training,Preschool and School Education,At Home,5,"$2,000-$2,999 ($104,000-$155,999)",Yes,0,1,1,0,1,0,0,0,Not applicable,Yes,No,Yes,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,696.78161167,3,0,3,3,1,Frequent_WFH,1,3,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),749.463904,696.78161167,perspoststratweight
Y24H5740111P03,Y24H5740111,3,Thursday,30->34,Male,Other relative,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,ICT Professionals,Professional Scientific and Technical Services,Computer System Design and Related Services,At Home,0,"$2,000-$2,999 ($104,000-$155,999)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,659.04010418,619.998067634,912.147065079,871.441772169,651.46741432,709.218460722,0.0,679.06513373,578.703571698,597.472357111,1145.537866718,MELB - Outer,Greater Melbourne,Weekday,659.04010418,0,0,0,0,0,No_WFH,1,3,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),749.463904,659.04010418,perspoststratweight
Y24H5740116P01,Y24H5740116,1,Tuesday,40->44,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,0,"$500-$649 ($26,000-$33,799)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,577.39701919,532.062836624,730.196368069,784.46485935,532.286502208,643.005805409,0.0,603.150452484,531.046650589,556.735695425,845.784401568,MELB - Outer,Greater Melbourne,Weekday,577.39701919,0,0,0,0,0,No_WFH,1,3,Separate House,1,"$500-$649 ($26,000-$33,799)",Casey (C),669.1512742,577.39701919,perspoststratweight
Y24H5740117P02,Y24H5740117,2,Wednesday,65->69,Female,Spouse,Full Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Health Care and Social Assistance,Social Assistance Services,At Home,4,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,322.915406765,313.247231991,358.705687212,412.723910723,297.369385211,403.349637902,0.0,316.380189374,309.805746422,319.05378723,505.678244505,MELB - Outer,Greater Melbourne,Weekday,322.915406765,0,0,0,0,0,No_WFH,1,2,Separate House,1,"$1,500-$1,749 ($78,000-$90,999)",Casey (C),693.9525028,322.915406765,perspoststratweight
Y24H5740119P01,Y24H5740119,1,Friday,65->69,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Wholesale Trade,Wholesale Trade (NEC),At Home,10,"$3,000-$3,499 ($156,000-$181,999)",Yes,0,1,1,1,0,0,0,0,Full Adult,No,No,No,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407,MELB - Outer,Greater Melbourne,Weekday,346.716334742,3,0,3,3,1,Frequent_WFH,1,2,Separate House,2,"$3,500-$3,999 ($182,000-$207,999)",Casey (C),826.0206217,346.716334742,perspoststratweight
Y24H5740120P01,Y24H5740120,1,Saturday,60->64,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,COMMUNITY AND PERSONAL SERVICE WORKERS (NEC),Information Media and Telecommunications,Library and Other Information Services,At Home,4,"$2,000-$2,999 ($104,000-$155,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081,MELB - Outer,Greater Melbourne,Weekend,427.276622314,0,0,0,0,0,No_WFH,1,1,Separate House,1,"$2,500-$2,999 ($130,000-$155,999)",Casey (C),669.9867768,427.276622314,perspoststratweight
Y24H5740123P01,Y24H5740123,1,Tuesday,65->69,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Manufacturing,Manufacturing (NEC),At Home,4,"$1,750-$1,999 ($91,000-$103,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,433.329068446,450.577184901,510.804117327,509.524123004,356.312179475,502.843041654,575.243696807,446.042182897,410.030814183,447.05143559,0.0,MELB - Outer,Greater Melbourne,Weekday,433.329068446,0,0,0,0,0,No_WFH,1,1,Separate House,1,"$1,750-$1,999 ($91,000-$103,999)",Casey (C),931.2339557,433.329068446,perspoststratweight
Y24H5740127P01,Y24H5740127,1,Saturday,35->39,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Community and Personal Service Workers,Carers and Aides,Education and Training,Preschool and School Education,At Home,5,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,1229.186927996,1088.117895349,1564.2420723,1720.831204153,1406.469574233,1504.969202763,1424.988974798,1223.05560017,1157.007912863,1214.805982051,0.0,MELB - Outer,Greater Melbourne,Weekend,1229.186927996,0,0,0,0,0,No_WFH,1,2,Separate House,2,"$2,500-$2,999 ($130,000-$155,999)",Casey (C),1183.935463,1229.186927996,perspoststratweight
Y24H5740127P02,Y24H5740127,2,Saturday,30->34,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Other Technicians and Trades Workers,Construction,Construction Services,At Home,5,"$1,750-$1,999 ($91,000-$103,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,1623.453460323,1635.904856031,1892.837734631,2320.38690079,1813.124161356,1816.736372415,1712.623816946,1631.906017323,1513.872744,1543.517424686,0.0,MELB - Outer,Greater Melbourne,Weekend,1623.453460323,0,0,0,0,0,No_WFH,1,2,Separate House,2,"$2,500-$2,999 ($130,000-$155,999)",Casey (C),1183.935463,1623.453460323,perspoststratweight
Y24H5740128P01,Y24H5740128,1,Sunday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,MANAGERS (NEC),Public Administration and Safety,Public Administration,At another location,5,"$1,750-$1,999 ($91,000-$103,999)",Yes,0,0,0,0,1,0,0,0,Not applicable,No,No,No,981.925016667,952.208372714,1167.820130661,1314.410494228,797.127053574,1345.029317838,1013.774596717,966.329437219,1053.723383547,1033.949921534,0.0,MELB - Outer,Greater Melbourne,Weekend,981.925016667,1,0,1,1,1,Occasional_WFH,1,5,Separate House,4,"$5,000-$5,999 ($260,000-$311,999)",Casey (C),1701.328403,981.925016667,perspoststratweight
Y24H5740128P02,Y24H5740128,2,Sunday,55->59,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Public Administration and Safety,Public Administration,At another location,5,"$1,750-$1,999 ($91,000-$103,999)",Yes,0,0,1,1,0,0,0,0,Not applicable,No,No,No,1088.563909284,1060.640872144,1393.363930136,1459.313589649,925.244664811,1453.407583692,1100.083257514,1071.729112466,1140.164873845,1187.790622604,0.0,MELB - Outer,Greater Melbourne,Weekend,1088.563909284,2,0,2,2,1,Occasional_WFH,1,5,Separate House,4,"$5,000-$5,999 ($260,000-$311,999)",Casey (C),1701.328403,1088.563909284,perspoststratweight
Y24H5740128P03,Y24H5740128,3,Sunday,20->24,Female,Child,Full Licence,No,No,No,No,No,Yes,Yes,Part-time TAFE/Uni,No other activity,Part-time TAFE/Uni,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Other Store-Based Retailing,At another location,5,"$400-$499 ($20,800-$25,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,1890.307193572,2178.559954921,2305.442724808,2090.256708454,1743.623111114,2706.157745169,1634.068348432,1894.651671193,2182.478768965,2190.712497899,0.0,MELB - Outer,Greater Melbourne,Weekend,1890.307193572,0,0,0,0,0,No_WFH,1,5,Separate House,4,"$5,000-$5,999 ($260,000-$311,999)",Casey (C),1701.328403,1890.307193572,perspoststratweight
Y24H5740128P04,Y24H5740128,4,Sunday,20->24,Male,Child,Green Probationary Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Construction Trades Workers,Construction,Building Construction,At Home,2,"$650-$799 ($33,800-$41,599)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,2195.691099014,2392.940260956,2352.816210155,2866.737375224,2362.924012923,3083.047122316,2053.79345821,2125.296764092,2535.834467932,2227.532369951,0.0,MELB - Outer,Greater Melbourne,Weekend,2195.691099014,0,0,0,0,0,No_WFH,1,5,Separate House,4,"$5,000-$5,999 ($260,000-$311,999)",Casey (C),1701.328403,2195.691099014,perspoststratweight
Y24H5740129P03,Y24H5740129,3,Monday,40->44,Male,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Chief Executives General Managers and Legislators,Manufacturing,Food Product Manufacturing,At Home,12,"$1,750-$1,999 ($91,000-$103,999)",Yes,1,1,1,1,1,0,0,1,Not applicable,Yes,No,No,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,734.497298419,5,0,5,5,1,Full_WFH,1,4,Separate House,3,"$3,000-$3,499 ($156,000-$181,999)",Casey (C),943.6600754,734.497298419,perspoststratweight
Y24H5740129P04,Y24H5740129,4,Monday,40->44,Female,Other relative,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,0,"$1,000-$1,249 ($52,000-$64,999)",Yes,1,1,1,1,1,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,814.265078244,717.104957581,1020.593807797,1067.748429221,795.026032872,927.798071955,969.943002594,839.310695889,822.116948758,852.540565729,0.0,MELB - Outer,Greater Melbourne,Weekday,814.265078244,5,0,5,5,1,Full_WFH,1,4,Separate House,3,"$3,000-$3,499 ($156,000-$181,999)",Casey (C),943.6600754,814.265078244,perspoststratweight
Y24H5740131P01,Y24H5740131,1,Wednesday,50->54,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At another location,2,"$3,000-$3,499 ($156,000-$181,999)",No,0,0,0,0,0,0,0,0,Not applicable,Yes,No,No,833.181207918,765.154596869,885.448010442,1069.693134255,849.684286031,1028.621249522,999.359112899,821.973012858,1025.301468273,812.292730784,0.0,MELB - Outer,Greater Melbourne,Weekday,833.181207918,0,0,0,0,0,No_WFH,1,4,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),1090.796564,833.181207918,perspoststratweight
Y24H5740131P02,Y24H5740131,2,Wednesday,45->49,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Managers,Specialist Managers,Manufacturing,Food Product Manufacturing,At Home,6,"$650-$799 ($33,800-$41,599)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,946.335436235,848.989625914,1241.496768704,1240.99176422,960.74340877,1103.299950145,1094.808993862,932.442029735,967.655684544,1034.517430239,0.0,MELB - Outer,Greater Melbourne,Weekday,946.335436235,0,0,0,0,0,No_WFH,1,4,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),1090.796564,946.335436235,perspoststratweight
Y24H5740131P03,Y24H5740131,3,Wednesday,15->19,Male,Child,No Car Licence,No,No,Yes,No,No,Yes,Yes,Secondary,No other activity,Secondary School,Paid Employee,Sales Workers,Sales Support Workers,Arts and Recreation Services,Sports and Recreation Activities,At Home,4,"$1-$149 ($1-$7,799)",No,0,0,0,0,0,0,0,0,Missing/Refused,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,655.093691622,610.230342122,720.74311895,701.144237538,622.521832394,782.098706948,742.184184767,654.932213849,787.780497572,686.097736522,0.0,MELB - Outer,Greater Melbourne,Weekday,655.093691622,0,0,0,0,0,No_WFH,1,4,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),1090.796564,655.093691622,perspoststratweight
Y24H5740135P01,Y24H5740135,1,Sunday,40->44,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Engineering ICT and Science Technicians,Professional Scientific and Technical Services,Professional Scientific and Technical Services (NEC),At Home,4,"$3,000-$3,499 ($156,000-$181,999)",Yes,1,0,0,1,1,0,0,0,Not applicable,No,No,No,1443.526249028,1326.839532621,1556.850254372,2122.865085793,1637.438500954,1477.736400449,1651.044688755,1486.3484115,1340.579217101,1497.283082091,0.0,MELB - Outer,Greater Melbourne,Weekend,1443.526249028,3,0,3,3,1,Frequent_WFH,1,4,Separate House,2,"$5,000-$5,999 ($260,000-$311,999)",Casey (C),1189.321781,1443.526249028,perspoststratweight
Y24H5740135P02,Y24H5740135,2,Sunday,40->44,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Rental Hiring and Real Estate Services,Rental Hiring and Real Estate Services (NEC),At Home,2,"$2,000-$2,999 ($104,000-$155,999)",Yes,1,1,1,0,0,0,0,0,Not applicable,No,No,No,1026.241565159,897.332973267,1240.818221967,1413.814482815,1069.958926893,1110.120918108,1233.813386034,1058.726356879,991.87774436,1054.826028464,0.0,MELB - Outer,Greater Melbourne,Weekend,1026.241565159,3,0,3,3,1,Frequent_WFH,1,4,Separate House,2,"$5,000-$5,999 ($260,000-$311,999)",Casey (C),1189.321781,1026.241565159,perspoststratweight
Y24H5740317P01,Y24H5740317,1,Wednesday,85->89,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Self-Employed,Clerical and Administrative Workers,Numerical Clerks,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At Home,5,"$3,000-$3,499 ($156,000-$181,999)",Yes,1,1,0,0,0,1,1,0,Not applicable,No,No,No,628.018063666,803.943399942,957.162685993,860.590041624,625.744016429,572.295683361,639.514369148,739.309693121,516.312457805,0.0,668.915190462,MELB - Inner,Greater Melbourne,Weekday,628.018063666,2,2,4,2,1,Frequent_WFH,1,2,"Unit, Flat or Apartment",2,"$3,500-$3,999 ($182,000-$207,999)",Stonnington (C),1361.976409,628.018063666,perspoststratweight
Y24H5740317P02,Y24H5740317,2,Wednesday,85->89,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Self-Employed,Clerical and Administrative Workers,Numerical Clerks,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At Home,6,"$500-$649 ($26,000-$33,799)",Yes,1,0,0,0,0,1,1,0,Not applicable,No,No,No,692.633313734,938.076080815,1307.41419986,828.429285456,690.8865614,568.433991927,717.642286201,811.121769152,526.712690766,0.0,779.611438662,MELB - Inner,Greater Melbourne,Weekday,692.633313734,1,2,3,1,1,Frequent_WFH,1,2,"Unit, Flat or Apartment",2,"$3,500-$3,999 ($182,000-$207,999)",Stonnington (C),1361.976409,692.633313734,perspoststratweight
Y24H5740331P01,Y24H5740331,1,Wednesday,60->64,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Professionals,Health Professionals,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,2,"$2,000-$2,999 ($104,000-$155,999)",Yes,1,0,0,1,0,0,0,0,Not applicable,No,No,No,660.342969764,804.003024835,0.0,893.53519195,647.934413612,677.023679773,687.391893087,822.750361196,584.684141846,647.123527992,697.609506768,MELB - Inner,Greater Melbourne,Weekday,660.342969764,2,0,2,2,1,Occasional_WFH,1,2,Separate House,2,"$2,500-$2,999 ($130,000-$155,999)",Stonnington (C),1089.581127,660.342969764,perspoststratweight
Y24H5740337P01,Y24H5740337,1,Tuesday,25->29,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,Part-time TAFE/Uni,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Health Care and Social Assistance,Hospitals,At Home,2,"$650-$799 ($33,800-$41,599)",Yes,1,1,1,1,1,0,0,1,Not applicable,No,No,No,1030.903333264,1343.318406511,0.0,1343.679368372,967.336145682,1174.579846895,974.619704543,1037.810170611,1345.448298468,954.650637474,897.837964524,MELB - Inner,Greater Melbourne,Weekday,1030.903333264,5,0,5,5,1,Full_WFH,1,2,Terrace or Townhouse,1,"$650-$799 ($33,800-$41,599)",Stonnington (C),735.412958,1030.903333264,perspoststratweight
Y24H5740340P01,Y24H5740340,1,Friday,55->59,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,Keeping House,Full-time Work,Self-Employed,Professionals,Arts and Media Professionals,Arts and Recreation Services,Arts and Recreation Services (NEC),At Home,10,"$800-$999 ($41,600-$51,999)",Yes,0,0,1,0,0,0,0,0,Not applicable,No,No,No,641.679404901,767.555109903,0.0,762.892588865,630.403791589,777.101210661,627.467033824,750.557427333,715.035352233,644.048033487,603.310653722,MELB - Inner,Greater Melbourne,Weekday,641.679404901,1,0,1,1,1,Occasional_WFH,1,2,"Unit, Flat or Apartment",1,"$800-$999 ($41,600-$51,999)",Stonnington (C),753.3650805,641.679404901,perspoststratweight
Y24H5740501P01,Y24H5740501,1,Monday,40->44,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,ICT Professionals,Information Media and Telecommunications,Telecommunications Services,At Home,0,"$1,750-$1,999 ($91,000-$103,999)",Yes,1,1,0,1,1,0,0,1,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,205.864673487,244.437204039,251.093557862,0.0,240.945388421,240.964472786,259.956119967,215.334505865,208.388357508,191.38199799,232.325235853,MELB - Outer,Greater Melbourne,Weekday,205.864673487,4,0,4,4,1,Frequent_WFH,1,4,Terrace or Townhouse,1,"$2,000-$2,499 ($104,000-$129,999)",Wyndham (C),357.1606022,205.864673487,perspoststratweight
Y24H5740501P02,Y24H5740501,2,Monday,35->39,Female,Spouse,No Car Licence,No,No,Yes,No,No,Yes,Yes,No Study,No other activity,Casual Work,Self-Employed,Technicians and Trades Workers,Food Trades Workers,Accommodation and Food Services,Food and Beverage Services,At Home,4,"$300-$399 ($15,600-$20,799)",Yes,1,0,1,0,1,1,0,1,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,389.126103427,448.465695846,460.304260085,0.0,440.340070085,454.205106617,538.151893961,393.757596986,403.68216836,380.645851606,417.191564708,MELB - Outer,Greater Melbourne,Weekday,389.126103427,3,1,4,3,1,Frequent_WFH,1,4,Terrace or Townhouse,1,"$2,000-$2,499 ($104,000-$129,999)",Wyndham (C),357.1606022,389.126103427,perspoststratweight
Y24H5740505P01,Y24H5740505,1,Friday,35->39,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Self-Employed,Machinery Operators and Drivers,Road and Rail Drivers,Transport Postal and Warehousing,Road Transport,At Home,5,"$1-$149 ($1-$7,799)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,Missing/Refused,419.509162416,532.14915538,508.719687868,0.0,488.95855572,479.644325829,498.265569905,402.360387198,414.380399792,425.818006495,460.194014554,MELB - Outer,Greater Melbourne,Weekday,419.509162416,0,0,0,0,0,No_WFH,1,3,Separate House,1,"$1-$149 ($1-$7,799)",Wyndham (C),423.2629917,419.509162416,perspoststratweight
Y24H5740510P01,Y24H5740510,1,Wednesday,40->44,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Employer,Professionals,Design Engineering Science and Transport Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,4,"$3,000-$3,499 ($156,000-$181,999)",Yes,1,1,1,0,0,0,0,1,Not applicable,No,No,No,239.409169711,310.638810151,274.916590662,0.0,281.818374493,271.620199029,273.974002866,233.505069761,231.663801876,234.663380433,288.755188063,MELB - Outer,Greater Melbourne,Weekday,239.409169711,3,0,3,3,1,Frequent_WFH,1,3,Separate House,1,"$4,500-$4,999 ($234,000-$259,999)",Wyndham (C),415.3579231,239.409169711,perspoststratweight
Y24H5740510P02,Y24H5740510,2,Wednesday,35->39,Female,Spouse,Learners Permit,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Employer,Professionals,Health Professionals,Health Care and Social Assistance,Hospitals,At Home,10,"$1,250-$1,499 ($65,000-$77,999)",Yes,1,0,1,1,1,0,0,0,Concession,No,No,No,306.537486477,366.583693924,401.87518377,0.0,340.738669691,340.038839377,357.283852794,289.616145897,303.85848476,305.579988192,383.714708754,MELB - Outer,Greater Melbourne,Weekday,306.537486477,4,0,4,4,1,Frequent_WFH,1,3,Separate House,1,"$4,500-$4,999 ($234,000-$259,999)",Wyndham (C),415.3579231,306.537486477,perspoststratweight
